Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-04-10,1,1,0,0,,,,0.034,0.0,0.0,
2020-04-11,1,0,0,0,,,,0.034,0.0,0.0,
2020-04-12,1,0,0,0,,,,0.034,0.0,0.0,
2020-04-13,1,0,0,0,,,,0.034,0.0,0.0,
2020-04-14,1,0,0,0,,,,0.034,0.0,0.0,
2020-04-15,1,0,0,0,,,,0.034,0.0,0.0,
2020-04-16,1,0,0,0,,,,0.034,0.0,0.0,
2020-04-17,1,0,0,0,,,,0.034,0.0,0.0,
2020-04-18,1,0,0,0,,,,0.034,0.0,0.0,
2020-04-19,1,0,0,0,,,,0.034,0.0,0.0,
2020-04-20,1,0,0,0,,,,0.034,0.0,0.0,
2020-04-21,1,0,0,0,,,,0.034,0.0,0.0,
2020-04-22,1,0,0,0,,,,0.034,0.0,0.0,
2020-04-23,1,0,0,0,,,,0.034,0.0,0.0,
2020-04-24,1,0,0,0,,,,0.034,0.0,0.0,
2020-04-25,1,0,0,0,,,,0.034,0.0,0.0,
2020-04-26,1,0,0,0,,,,0.034,0.0,0.0,
2020-04-27,1,0,0,0,,,,0.034,0.0,0.0,
2020-04-28,1,0,0,0,,,,0.034,0.0,0.0,
2020-04-29,1,0,0,0,,,,0.034,0.0,0.0,
