Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-19,2,2,0,0,,,,0.109,0.0,0.0,
2020-03-20,2,0,0,0,,,,0.109,0.0,0.0,
2020-03-21,2,0,0,0,,,,0.109,0.0,0.0,
2020-03-22,2,0,0,0,,,,0.109,0.0,0.0,
2020-03-23,3,1,0,0,,,,0.163,0.0,0.0,
2020-03-24,3,0,0,0,,,,0.163,0.0,0.0,
2020-03-25,3,0,0,0,,,,0.163,0.0,0.0,
2020-03-26,12,9,0,0,,,,0.653,0.0,0.0,
2020-03-27,14,2,0,0,,,,0.762,0.0,0.0,
2020-03-28,16,2,0,0,,,,0.87,0.0,0.0,
2020-03-29,28,12,0,0,,,,1.5230000000000001,0.0,0.0,
2020-03-30,29,1,0,0,,,,1.577,0.0,0.0,
2020-03-31,35,6,0,0,,,,1.9040000000000001,0.0,0.0,
2020-04-01,35,0,0,0,,,,1.9040000000000001,0.0,0.0,
2020-04-02,36,1,0,0,,,,1.9580000000000002,0.0,0.0,
2020-04-03,39,3,1,1,,,,2.121,0.054000000000000006,0.054000000000000006,
2020-04-04,39,0,1,0,,,,2.121,0.054000000000000006,0.0,
2020-04-05,39,0,1,0,,,,2.121,0.054000000000000006,0.0,
2020-04-06,39,0,1,0,,,,2.121,0.054000000000000006,0.0,
2020-04-07,39,0,1,0,,,,2.121,0.054000000000000006,0.0,
2020-04-08,39,0,1,0,,,,2.121,0.054000000000000006,0.0,
2020-04-09,39,0,1,0,,,,2.121,0.054000000000000006,0.0,
2020-04-10,39,0,1,0,,,,2.121,0.054000000000000006,0.0,
2020-04-11,40,1,2,1,,,,2.176,0.109,0.054000000000000006,
2020-04-12,40,0,2,0,,,,2.176,0.109,0.0,
2020-04-13,43,3,2,0,,,,2.339,0.109,0.0,
2020-04-14,45,2,2,0,,,,2.448,0.109,0.0,
2020-04-15,45,0,2,0,,,,2.448,0.109,0.0,
2020-04-16,48,3,2,0,,,,2.611,0.109,0.0,
2020-04-17,48,0,2,0,,,,2.611,0.109,0.0,
2020-04-18,52,4,2,0,,,,2.8289999999999997,0.109,0.0,
2020-04-19,57,5,2,0,,,,3.1010000000000004,0.109,0.0,
2020-04-20,61,4,3,1,,,,3.318,0.163,0.054000000000000006,
2020-04-21,65,4,3,0,,,,3.536,0.163,0.0,
2020-04-22,65,0,3,0,,,,3.536,0.163,0.0,
2020-04-23,74,9,3,0,,,,4.025,0.163,0.0,
2020-04-24,76,2,3,0,,,,4.1339999999999995,0.163,0.0,
2020-04-25,84,8,3,0,,,,4.569,0.163,0.0,
2020-04-26,84,0,3,0,,,,4.569,0.163,0.0,
2020-04-27,88,4,3,0,,,,4.787,0.163,0.0,
2020-04-28,89,1,3,0,,,,4.841,0.163,0.0,
2020-04-29,95,6,3,0,,,,5.167999999999999,0.163,0.0,
