Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-19,Zambia,2,2,0,0,,,,0.109,0.0,0.0,,
2020-03-20,Zambia,2,0,0,0,,,,0.109,0.0,0.0,,
2020-03-21,Zambia,2,0,0,0,,,,0.109,0.0,0.0,,
2020-03-22,Zambia,2,0,0,0,,,,0.109,0.0,0.0,,
2020-03-23,Zambia,3,1,0,0,,,,0.163,0.0,0.0,,
2020-03-24,Zambia,3,0,0,0,,,,0.163,0.0,0.0,,
2020-03-25,Zambia,3,0,0,0,,,,0.163,0.0,0.0,,
2020-03-26,Zambia,12,9,0,0,,,,0.653,0.0,0.0,,
2020-03-27,Zambia,14,2,0,0,,,,0.762,0.0,0.0,,
2020-03-28,Zambia,16,2,0,0,,,,0.87,0.0,0.0,,
2020-03-29,Zambia,28,12,0,0,,,,1.5230000000000001,0.0,0.0,,
2020-03-30,Zambia,29,1,0,0,,,,1.577,0.0,0.0,,
2020-03-31,Zambia,35,6,0,0,,,,1.9040000000000001,0.0,0.0,,
2020-04-01,Zambia,35,0,0,0,,,,1.9040000000000001,0.0,0.0,,
2020-04-02,Zambia,36,1,0,0,,,,1.9580000000000002,0.0,0.0,,
2020-04-03,Zambia,39,3,1,1,,,,2.121,0.054000000000000006,0.054000000000000006,,
2020-04-04,Zambia,39,0,1,0,,,,2.121,0.054000000000000006,0.0,,
2020-04-05,Zambia,39,0,1,0,,,,2.121,0.054000000000000006,0.0,,
2020-04-06,Zambia,39,0,1,0,,,,2.121,0.054000000000000006,0.0,,
2020-04-07,Zambia,39,0,1,0,,,,2.121,0.054000000000000006,0.0,,
2020-04-08,Zambia,39,0,1,0,,,,2.121,0.054000000000000006,0.0,,
2020-04-09,Zambia,39,0,1,0,,,,2.121,0.054000000000000006,0.0,,
2020-04-10,Zambia,39,0,1,0,,,,2.121,0.054000000000000006,0.0,,
2020-04-11,Zambia,40,1,2,1,,,,2.176,0.109,0.054000000000000006,,
2020-04-12,Zambia,40,0,2,0,,,,2.176,0.109,0.0,,
2020-04-13,Zambia,43,3,2,0,,,,2.339,0.109,0.0,,
2020-04-14,Zambia,45,2,2,0,,,,2.448,0.109,0.0,,
2020-04-15,Zambia,45,0,2,0,,,,2.448,0.109,0.0,,
2020-04-16,Zambia,48,3,2,0,,,,2.611,0.109,0.0,,
2020-04-17,Zambia,48,0,2,0,,,,2.611,0.109,0.0,,
2020-04-18,Zambia,52,4,2,0,,,,2.8289999999999997,0.109,0.0,,
2020-04-19,Zambia,57,5,2,0,,,,3.1010000000000004,0.109,0.0,,
2020-04-20,Zambia,61,4,3,1,,,,3.318,0.163,0.054000000000000006,,
2020-04-21,Zambia,65,4,3,0,,,,3.536,0.163,0.0,,
