Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-15,0,0,0,0,,,,,,,14.0
2020-03-21,1,1,0,0,,,,0.067,0.0,0.0,
2020-03-22,2,1,0,0,,,,0.135,0.0,0.0,
2020-03-23,2,0,0,0,,,,0.135,0.0,0.0,15.0
2020-03-24,2,0,1,1,,,,0.135,0.067,0.067,
2020-03-25,2,0,1,0,,,,0.135,0.067,0.0,100.0
2020-03-26,3,1,1,0,,,,0.20199999999999999,0.067,0.0,165.0
2020-03-27,3,0,1,0,,,,0.20199999999999999,0.067,0.0,188.0
2020-03-28,5,2,1,0,,,,0.336,0.067,0.0,
2020-03-29,7,2,1,0,,,,0.47100000000000003,0.067,0.0,194.0
2020-03-30,7,0,1,0,,,,0.47100000000000003,0.067,0.0,241.0
2020-03-31,7,0,1,0,,,,0.47100000000000003,0.067,0.0,274.0
2020-04-01,8,1,1,0,,,,0.5379999999999999,0.067,0.0,
2020-04-02,8,0,1,0,,,,0.5379999999999999,0.067,0.0,316.0
2020-04-03,8,0,1,0,,,,0.5379999999999999,0.067,0.0,329.0
2020-04-04,9,1,1,0,,,,0.606,0.067,0.0,349.0
2020-04-05,9,0,1,0,,,,0.606,0.067,0.0,358.0
2020-04-06,9,0,1,0,,,,0.606,0.067,0.0,371.0
2020-04-07,9,0,1,0,,,,0.606,0.067,0.0,392.0
2020-04-08,10,1,1,0,,,,0.6729999999999999,0.067,0.0,410.0
2020-04-09,11,1,2,1,,,,0.74,0.135,0.067,438.0
2020-04-10,11,0,3,1,,,,0.74,0.20199999999999999,0.067,463.0
2020-04-11,11,0,3,0,,,,0.74,0.20199999999999999,0.0,547.0
2020-04-12,14,3,3,0,,,,0.9420000000000001,0.20199999999999999,0.0,563.0
2020-04-13,14,0,3,0,,,,0.9420000000000001,0.20199999999999999,0.0,604.0
2020-04-14,17,3,3,0,,,,1.1440000000000001,0.20199999999999999,0.0,665.0
2020-04-15,17,0,3,0,,,,1.1440000000000001,0.20199999999999999,0.0,716.0
2020-04-16,23,6,3,0,,,,1.547,0.20199999999999999,0.0,1299.0
2020-04-17,24,1,3,0,,,,1.615,0.20199999999999999,0.0,2493.0
2020-04-18,24,0,3,0,,,,1.615,0.20199999999999999,0.0,2626.0
2020-04-19,25,1,3,0,,,,1.682,0.20199999999999999,0.0,2851.0
2020-04-20,25,0,3,0,,,,1.682,0.20199999999999999,0.0,3308.0
2020-04-21,25,0,3,0,,,,1.682,0.20199999999999999,0.0,4159.0
2020-04-22,28,3,3,0,,,,1.8840000000000001,0.20199999999999999,0.0,4990.0
2020-04-23,28,0,3,0,,,,1.8840000000000001,0.20199999999999999,0.0,5450.0
2020-04-24,29,1,3,0,,,,1.9509999999999998,0.20199999999999999,0.0,5687.0
2020-04-25,29,0,4,1,,,,1.9509999999999998,0.26899999999999996,0.067,6067.0
2020-04-26,31,2,4,0,,,,2.086,0.26899999999999996,0.0,6395.0
2020-04-27,31,0,4,0,,,,2.086,0.26899999999999996,0.0,6834.0
2020-04-28,32,1,4,0,,,,2.153,0.26899999999999996,0.0,7287.0
2020-04-29,32,0,4,0,,,,2.153,0.26899999999999996,0.0,
