Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-21,Zimbabwe,1,1,0,0,,,,0.067,0.0,0.0,,
2020-03-22,Zimbabwe,2,1,0,0,,,,0.135,0.0,0.0,,
2020-03-23,Zimbabwe,2,0,0,0,,,,0.135,0.0,0.0,,
2020-03-24,Zimbabwe,2,0,1,1,,,,0.135,0.067,0.067,,
2020-03-25,Zimbabwe,2,0,1,0,,,,0.135,0.067,0.0,,
2020-03-26,Zimbabwe,3,1,1,0,,,,0.20199999999999999,0.067,0.0,,
2020-03-27,Zimbabwe,3,0,1,0,,,,0.20199999999999999,0.067,0.0,,
2020-03-28,Zimbabwe,5,2,1,0,,,,0.336,0.067,0.0,,
2020-03-29,Zimbabwe,7,2,1,0,,,,0.47100000000000003,0.067,0.0,,
2020-03-30,Zimbabwe,7,0,1,0,,,,0.47100000000000003,0.067,0.0,,
2020-03-31,Zimbabwe,7,0,1,0,,,,0.47100000000000003,0.067,0.0,,
2020-04-01,Zimbabwe,8,1,1,0,,,,0.5379999999999999,0.067,0.0,,
2020-04-02,Zimbabwe,8,0,1,0,,,,0.5379999999999999,0.067,0.0,,
2020-04-03,Zimbabwe,8,0,1,0,,,,0.5379999999999999,0.067,0.0,,
2020-04-04,Zimbabwe,9,1,1,0,,,,0.606,0.067,0.0,,
2020-04-05,Zimbabwe,9,0,1,0,,,,0.606,0.067,0.0,,
2020-04-06,Zimbabwe,9,0,1,0,,,,0.606,0.067,0.0,,
2020-04-07,Zimbabwe,9,0,1,0,,,,0.606,0.067,0.0,,
2020-04-08,Zimbabwe,10,1,1,0,,,,0.6729999999999999,0.067,0.0,,
2020-04-09,Zimbabwe,11,1,2,1,,,,0.74,0.135,0.067,,
2020-04-10,Zimbabwe,11,0,3,1,,,,0.74,0.20199999999999999,0.067,,
2020-04-11,Zimbabwe,11,0,3,0,,,,0.74,0.20199999999999999,0.0,,
2020-04-12,Zimbabwe,14,3,3,0,,,,0.9420000000000001,0.20199999999999999,0.0,,
2020-04-13,Zimbabwe,14,0,3,0,,,,0.9420000000000001,0.20199999999999999,0.0,,
2020-04-14,Zimbabwe,17,3,3,0,,,,1.1440000000000001,0.20199999999999999,0.0,,
2020-04-15,Zimbabwe,17,0,3,0,,,,1.1440000000000001,0.20199999999999999,0.0,,
2020-04-16,Zimbabwe,23,6,3,0,,,,1.547,0.20199999999999999,0.0,,
2020-04-17,Zimbabwe,24,1,3,0,,,,1.615,0.20199999999999999,0.0,,
2020-04-18,Zimbabwe,24,0,3,0,,,,1.615,0.20199999999999999,0.0,,
2020-04-19,Zimbabwe,25,1,3,0,,,,1.682,0.20199999999999999,0.0,,
2020-04-20,Zimbabwe,25,0,3,0,,,,1.682,0.20199999999999999,0.0,,
2020-04-21,Zimbabwe,25,0,3,0,,,,1.682,0.20199999999999999,0.0,,
