,date,country,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious,total_cases_per_million,total_deaths_per_million,total_tests
0,2020-05-05,,721,,15,,645,61,4,,,
1,2020-05-05,USA,"1,234,322","+21,487","72,044 ","+2,123","198,944","963,334","16,174","3,729",218,"7,684,931"
2,2020-05-05,Spain,"250,561","+2,260","25,613 ",+185,"154,718","70,230","2,254","5,359",548,"1,932,455"
3,2020-05-05,Italy,"213,013","+1,075","29,315 ",+236,"85,231","98,467","1,427","3,523",485,"2,246,666"
4,2020-05-05,UK,"194,990","+4,406","29,427 ",+693,N/A,"165,219","1,559","2,872",433,"1,383,842"
5,2020-05-05,France,"170,551","+1,089","25,531 ",+330,"52,736","92,284","3,430","2,613",391,"1,100,228"
6,2020-05-05,Germany,"166,706",+554,"6,993 ",,"135,100","24,613","1,937","1,990",83,"2,547,052"
7,2020-05-05,Russia,"155,370","+10,102","1,451 ",+95,"19,865","134,054","2,300","1,065",10,"4,460,357"
8,2020-05-05,Turkey,"129,491","+1,832","3,520 ",+59,"73,285","52,686","1,338","1,535",42,"1,204,421"
9,2020-05-05,Brazil,"110,156","+1,890","7,485 ",+142,"45,815","56,856","8,318",518,35,"339,552"
10,2020-05-05,Iran,"99,970","+1,323","6,340 ",+63,"80,475","13,155","2,685","1,190",75,"519,543"
11,2020-05-05,Canada,"61,981","+1,209","4,037 ",+183,"26,661","31,283",557,"1,642",107,"919,368"
12,2020-05-05,Peru,"51,189","+3,817","1,444 ",+100,"15,413","34,332",709,"1,553",44,"406,579"
13,2020-05-05,Belgium,"50,509",+242,"8,016 ",+92,"12,441","30,052",646,"4,358",692,"456,194"
14,2020-05-05,India,"49,400","+2,963","1,693 ",+127,"14,142","33,565",,36,1,"1,191,946"
15,2020-05-05,Netherlands,"41,087",+317,"5,168 ",+86,N/A,"35,669",644,"2,398",302,"235,909"
16,2020-05-05,Ecuador,"31,881",,"1,569 ",,"3,433","26,879",159,"1,807",89,"80,171"
17,2020-05-05,Saudi Arabia,"30,251","+1,595",200 ,+9,"5,431","24,620",143,869,6,"376,607"
18,2020-05-05,Switzerland,"30,009",+28,"1,795 ",+11,"25,400","2,814",121,"3,467",207,"286,403"
19,2020-05-05,Portugal,"25,702",+178,"1,074 ",+11,"1,743","22,885",134,"2,521",105,"450,000"
20,2020-05-05,Mexico,"24,905","+1,434","2,271 ",+117,"15,938","6,696",378,193,18,"100,041"
21,2020-05-05,Sweden,"23,216",+495,"2,854 ",+85,"4,074","16,288",435,"2,299",283,"148,500"
22,2020-05-05,Pakistan,"22,049","+1,108",514 ,+38,"5,801","15,734",111,100,2,"222,404"
23,2020-05-05,Chile,"22,016","+1,373",275 ,+5,"10,710","11,031",470,"1,152",14,"222,095"
24,2020-05-05,Ireland,"21,983",+211,"1,339 ",+20,"13,386","7,258",93,"4,452",271,"214,761"
25,2020-05-05,Singapore,"19,410",+632,18 ,,"1,519","17,873",24,"3,318",3,"143,919"
26,2020-05-05,Belarus,"18,350",+861,107 ,+4,"3,771","14,472",92,"1,942",11,"211,369"
27,2020-05-05,Qatar,"17,142",+951,12 ,,"1,924","15,206",72,"5,950",4,"109,762"
28,2020-05-05,Israel,"16,289",+43,238 ,+3,"10,465","5,586",89,"1,882",27,"417,100"
29,2020-05-05,Austria,"15,650",+29,606 ,+6,"13,462","1,582",104,"1,738",67,"285,883"
30,2020-05-05,UAE,"15,192",+462,146 ,+9,"3,153","11,893",1,"1,536",15,"1,200,000"
31,2020-05-05,Japan,"15,078",,536 ,,"4,156","10,386",328,119,4,"184,586"
32,2020-05-05,Poland,"14,431",+425,716 ,+18,"4,280","9,435",160,381,19,"394,270"
33,2020-05-05,Romania,"13,837",+325,841 ,+23,"5,454","7,542",244,719,44,"205,842"
34,2020-05-05,Ukraine,"12,697",+366,316 ,+13,"1,875","10,506",167,290,7,"139,759"
35,2020-05-05,Indonesia,"12,071",+484,872 ,+8,"2,197","9,002",,44,3,"121,547"
36,2020-05-05,Bangladesh,"10,929",+786,183 ,+1,"1,403","9,343",1,66,1,"93,405"
37,2020-05-05,S. Korea,"10,804",+3,254 ,+2,"9,283","1,267",55,211,5,"640,237"
38,2020-05-05,Denmark,"9,821",+151,503 ,+10,"7,296","2,022",49,"1,696",87,"257,738"
39,2020-05-05,Philippines,"9,684",+199,637 ,+14,"1,408","7,639",31,88,6,"130,889"
40,2020-05-05,Serbia,"9,677",+120,200 ,+3,"1,723","7,754",51,"1,108",23,"111,278"
41,2020-05-05,Dominican Republic,"8,480",+245,354 ,+8,"1,905","6,221",144,782,33,"33,377"
42,2020-05-05,Colombia,"7,973",,358 ,,"1,807","5,808",120,157,7,"123,029"
43,2020-05-05,Norway,"7,928",+24,215 ,+1,32,"7,681",27,"1,462",40,"189,657"
44,2020-05-05,Czechia,"7,878",+59,254 ,+2,"3,999","3,625",59,736,24,"269,093"
45,2020-05-05,South Africa,"7,572",+352,148 ,+10,"2,746","4,678",36,128,2,"268,064"
46,2020-05-05,Panama,"7,387",+190,203 ,+3,726,"6,458",93,"1,712",47,"35,556"
47,2020-05-05,Egypt,"7,201",+388,452 ,+16,"1,730","5,019",,70,4,"90,000"
48,2020-05-05,Australia,"6,849",+24,96 ,+1,"5,889",864,27,269,4,"664,756"
49,2020-05-05,Malaysia,"6,383",+30,106 ,+1,"4,567","1,710",24,197,3,"213,220"
50,2020-05-05,Kuwait,"5,804",+526,40 ,,"2,032","3,732",90,"1,359",9,"196,397"
51,2020-05-05,Finland,"5,412",+85,246 ,+6,"3,500","1,666",48,977,44,"106,300"
52,2020-05-05,Morocco,"5,219",+166,181 ,+2,"1,838","3,200",1,141,5,"49,570"
53,2020-05-05,Argentina,"4,887",,260 ,,"1,442","3,185",157,108,6,"69,718"
54,2020-05-05,Algeria,"4,838",+190,470 ,+5,"2,067","2,301",22,110,11,"6,500"
55,2020-05-05,Moldova,"4,363",+115,136 ,+4,"1,544","2,683",237,"1,082",34,"20,447"
56,2020-05-05,Kazakhstan,"4,205",+156,29  ,,"1,279","2,897",40,224,2,"320,411"
57,2020-05-05,Luxembourg,"3,840",+12,96 ,,"3,412",332,22,"6,134",153,"49,299"
58,2020-05-05,Bahrain,"3,720",+187,8 ,,"1,762","1,950",1,"2,186",5,"155,501"
59,2020-05-05,Afghanistan,"3,224",+330,95 ,+5,421,"2,708",7,83,2,"13,076"
60,2020-05-05,Hungary,"3,065",+30,363 ,+12,709,"1,993",55,317,38,"85,557"
61,2020-05-05,Thailand,"2,988",+1,54 ,,"2,747",187,61,43,0.8,"227,860"
62,2020-05-05,Nigeria,"2,802",,93 ,,417,"2,292",4,14,0.5,"19,512"
63,2020-05-05,Oman,"2,735",+98,12 ,,858,"1,865",17,536,2,"40,459"
64,2020-05-05,Ghana,"2,719",,18 ,,294,"2,407",4,88,0.6,"129,461"
65,2020-05-05,Greece,"2,642",+10,146 ,,"1,374","1,122",35,253,14,"83,750"
66,2020-05-05,Armenia,"2,619",+112,40 ,+1,"1,111","1,468",10,884,13,"25,846"
67,2020-05-05,Iraq,"2,431",+85,102 ,+4,"1,571",758,,60,3,"113,484"
