,index,1,2,3,4,5,6,7,8,9,10
0,,World,"9,874,029","+170,699","495,384","+4,395","5,316,200","+61,244","4,062,445","57,580","1,267"
1,USA,USA,"2,544,298","+39,710","127,329 ",+549,"1,059,594","+7,301","1,357,375","15,734","7,687"
2,Brazil,Brazil,"1,274,974","+41,827","55,961 ",+907,"673,729","+23,821","545,284","8,318","5,999"
3,Russia,Russia,"620,794","+6,800","8,781 ",+176,"384,152","+8,988","227,861","2,300","4,254"
4,India,India,"509,446","+18,276","15,689 ",+381,"295,917","+10,246","197,840","8,944",369
5,UK,UK,"309,360","+1,380","43,414 ",+184,N/A,N/A,N/A,311,"4,557"
6,Spain,Spain,"294,985",+419,"28,338 ",+8,N/A,N/A,N/A,617,"6,309"
7,Peru,Peru,"272,364","+3,762","8,939 ",+178,"159,806","+3,732","103,619","1,172","8,263"
8,Chile,Chile,"263,360","+4,296","5,068 ",+165,"223,431","+4,104","34,861","2,086","13,779"
9,Italy,Italy,"239,961",+255,"34,708 ",+30,"187,615",+890,"17,638",105,"3,969"
10,Iran,Iran,"217,724","+2,628","10,239 ",+109,"177,852","+2,749","29,633","2,912","2,593"
11,Mexico,Mexico,"202,951","+6,104","25,060 ",+736,"116,862",,"61,029",378,"1,574"
12,Pakistan,Pakistan,"195,745","+2,775","3,962 ",+59,"84,168","+2,861","107,615","2,765",887
13,Turkey,Turkey,"194,511","+1,396","5,065 ",+19,"167,198","+1,492","22,248",963,"2,307"
14,Germany,Germany,"194,256",+471,"9,026 ",+14,"177,100",+300,"8,130",364,"2,319"
15,Saudi Arabia,Saudi Arabia,"174,577","+3,938","1,474 ",+46,"120,471","+2,589","52,632","2,273","5,016"
16,France,France,"162,936","+1,588","29,778 ",+26,"75,351",,"57,807",651,"2,496"
17,Bangladesh,Bangladesh,"130,474","+3,868","1,661 ",+40,"53,133","+1,638","75,680",1,792
18,South Africa,South Africa,"124,590","+6,215","2,340 ",+48,"64,111","+4,137","58,139",539,"2,101"
19,Canada,Canada,"102,733",+111,"8,507 ",+3,"65,651",+226,"28,575","2,077","2,722"
20,Qatar,Qatar,"92,784",+946,109 ,+3,"76,072","+1,528","16,603",200,"33,045"
21,Colombia,Colombia,"80,599",,"2,654 ",,"33,349",,"44,596",335,"1,584"
22,Sweden,Sweden,"65,137",+303,"5,280 ",+50,N/A,N/A,N/A,171,"6,450"
